Name,Stars,City,Country,Cuisine,Chef,Price,Website,Michelin Guide page,Address
La Chassagnette,1 Star,Arles,France,Creative,,€€€€,https://www.chassagnette.fr/,https://guide.michelin.com/en/provence-alpes-cote-dazur/arles/restaurant/la-chassagnette,"Route du Sambuc, Arles, 13200, France"
Nacre,1 Star,Arès,France,Modern Cuisine,,€€€,https://www.restaurant-nacre.com/,https://guide.michelin.com/en/nouvelle-aquitaine/ars/restaurant/nacre,"3 bis rue Sophie-et-Paul-Wallerstein, Arès, 33740, France"
En Marge,1 Star,Aureville,France,Modern Cuisine,,€€€€,https://www.restaurantenmarge.com,https://guide.michelin.com/en/occitanie/aureville/restaurant/en-marge,"Lieu dit Le Birol, 1204 route de Lacroix-Falgarde,, Aureville, 31320, France"
Palégrié Chez l'Henri,1 Star,Autrans-Méaudre en Vercors,France,"Creative, Modern Cuisine",,€€€,https://palegrie.fr/,https://guide.michelin.com/en/auvergne-rhone-alpes/autrans/restaurant/palegrie-chez-l-henri,"66 rue de la Tour, Autrans-Méaudre en Vercors, 38112, France"
Pollen,1 Star,Avignon,France,Modern Cuisine,,€€€€,https://www.pollen-restaurant.fr,https://guide.michelin.com/en/provence-alpes-cote-dazur/avignon/restaurant/pollen1000267,"18 rue Joseph-Vernet, Avignon, 84000, France"
Auberge Pom'Poire,1 Star,Azay-le-Rideau,France,Modern Cuisine,,€€€,https://www.aubergepompoire.fr,https://guide.michelin.com/en/centre-val-de-loire/azay-le-rideau/restaurant/auberge-pom-poire,"21 route de Vallères, Azay-le-Rideau, 37190, France"
Le Gavrinis,1 Star,Baden,France,Modern Cuisine,,€€€€,https://www.gavrinis.fr,https://guide.michelin.com/en/bretagne/baden/restaurant/le-gavrinis,"1 rue de l'Île-Gavrinis, Baden, 56870, France"
L'Arnsbourg,1 Star,Baerenthal,France,Modern Cuisine,,€€€€,https://www.arnsbourg.com,https://guide.michelin.com/en/grand-est/baerenthal/restaurant/l-arnsbourg,"18 Untermuhlthal, Baerenthal, 57230, France"
Le Manoir du Lys,1 Star,Bagnoles-de-l'Orne,France,Modern Cuisine,,€€€€,https://www.manoir-du-lys.fr/,https://guide.michelin.com/en/normandie/bagnoles-de-l-orne/restaurant/le-manoir-du-lys,"Route de Juvigny-sous-Andaine, Bagnoles-de-l'Orne, 61140, France"
Les Oliviers,1 Star,Bandol,France,Modern Cuisine,,€€€€,https://www.restaurant-les-oliviers-bandol.fr,https://guide.michelin.com/en/provence-alpes-cote-dazur/bandol/restaurant/les-oliviers122360,"Hôtel Thalazur Bandol - Île Rousse, 25 boulevard Louis-Lumière, Bandol, 83150, France"
Ineffable,1 Star,Barbentane,France,Modern Cuisine,,€€€,https://restaurant-ineffable.fr,https://guide.michelin.com/en/provence-alpes-cote-dazur/barbentane_1504843/restaurant/ineffable,"3 rue Grande, Barbentane, 13570, France"
Enfin,1 Star,Barr,France,Modern Cuisine,,€€€€,https://www.enfin-barr.com,https://guide.michelin.com/en/grand-est/barr/restaurant/enfin,"2 chemin du Château-d'Andlau, Barr, 67140, France"
Le Restaurant des Rois - La Réserve de Beaulieu,1 Star,Beaulieu-sur-Mer,France,Modern Cuisine,,€€€€,https://www.reservebeaulieu.com,https://guide.michelin.com/en/provence-alpes-cote-dazur/beaulieu-sur-mer/restaurant/restaurant-des-rois,"5 boulevard du Maréchal-Leclerc, Beaulieu-sur-Mer, 06310, France"
Clos du Cèdre,1 Star,Beaune,France,Modern Cuisine,,€€€€,https://www.cedrebeaune.com,https://guide.michelin.com/en/bourgogne-franche-comte/beaune/restaurant/le-clos-du-cedre,"12 boulevard du Maréchal-Foch, Beaune, 21200, France"
Le Carmin,1 Star,Beaune,France,Modern Cuisine,,€€€€,https://www.restaurant-lecarmin.com/,https://guide.michelin.com/en/bourgogne-franche-comte/beaune/restaurant/le-carmin,"4B place Carnot, Beaune, 21200, France"
Vieux Pont,1 Star,Belcastel,France,Modern Cuisine,,€€€€,https://www.hotelbelcastel.com,https://guide.michelin.com/en/occitanie/belcastel/restaurant/vieux-pont,"245 route des berges de l'Aveyron, Belcastel, 12390, France"
La Grange de Belle-Église,1 Star,Belle-Église,France,Classic Cuisine,,€€€,https://www.lagrangedebelleeglise.fr,https://guide.michelin.com/en/hauts-de-france/belle-glise/restaurant/la-grange-de-belle-eglise,"28 boulevard René-Aimé-Lagabrielle, Belle-Église, 60540, France"
La Table de la Bergerie,1 Star,Bellevigne-en-Layon,France,Modern Cuisine,,€€€,https://www.latable-bergerie.fr,https://guide.michelin.com/en/pays-de-la-loire/bellevigne-en-layon_7770388/restaurant/la-table-de-la-bergerie,"3 route de la Pierre, Bellevigne-en-Layon, 49380, France"
